camera_id,Point,Location1,Location2,Camera Angle,SnapshotUrl
63ae798abfd3d90017e8f255,POINT(106.664623618126 10.7869104851311),,Cách Mạng Tháng Tám - Bắc Hải,,http://camera.thongtingiaothong.vn/api/snapshot/63ae798abfd3d90017e8f255
662a89f51afb9c00172d26ef,POINT(106.634652614593 10.7024001433989),,Nguyễn Văn Linh - Trịnh Quang Nghị 2,,http://camera.thongtingiaothong.vn/api/snapshot/662a89f51afb9c00172d26ef
597bf277faa7ea0011c7c29f,POINT(106.792302131653 10.8208924000834),,Cầu Phú Hữu 2,225,http://camera.thongtingiaothong.vn/api/snapshot/597bf277faa7ea0011c7c29f
63ae763bbfd3d90017e8f0c4,POINT(106.678780317307 10.7662581006404),,Lý Thái Tổ - Nguyễn Đình Chiểu,,http://camera.thongtingiaothong.vn/api/snapshot/63ae763bbfd3d90017e8f0c4
5d8cda6a766c880017188960,POINT(106.743823885918 10.8411932946322),,Phạm Văn Đồng - Kha Vạn Cân (hướng đi Sân bay),240,http://camera.thongtingiaothong.vn/api/snapshot/5d8cda6a766c880017188960
662b80e81afb9c00172dcbec,POINT(106.690050959587 10.7730352321784),,Cách Mạng Tháng Tám - Sương Nguyệt Anh,,http://camera.thongtingiaothong.vn/api/snapshot/662b80e81afb9c00172dcbec
56df84abc062921100c143e5,POINT(106.679236292839 10.8142217306645),Quận Gò Vấp,Nút giao Nguyễn Thái Sơn 3 (Phạm Văn Đồng),330,http://camera.thongtingiaothong.vn/api/snapshot/56df84abc062921100c143e5
662a86a11afb9c00172d2410,POINT(106.65856719017 10.7456043005395),,Tùng Thiện Vương - Cao Xuân Dục,,http://camera.thongtingiaothong.vn/api/snapshot/662a86a11afb9c00172d2410
56de42f611f398ec0c48128b,POINT(106.68691277504 10.7543213358374),Quận 1,Võ Văn Kiệt - Nguyễn Văn Cừ 1,180,http://camera.thongtingiaothong.vn/api/snapshot/56de42f611f398ec0c48128b
58e49ff8d9d6200011e0b9d4,POINT(106.687223911285 10.7863150164711),Quận 3,Nam Kỳ Khởi Nghĩa - Trần Quốc Toản,105,http://camera.thongtingiaothong.vn/api/snapshot/58e49ff8d9d6200011e0b9d4
5a8241105058170011f6eaa6,POINT(106.695785522461 10.7919218604929),,Đinh Tiên Hoàng - Võ Thị Sáu 2,135,http://camera.thongtingiaothong.vn/api/snapshot/5a8241105058170011f6eaa6
65e054fb6b18080018db6632,POINT(106.701187491417 10.7832164525575),,Lê Duẩn - Mạc Đĩnh Chi,,http://camera.thongtingiaothong.vn/api/snapshot/65e054fb6b18080018db6632
5a825ded5058170011f6ead7,POINT(106.655831336975 10.6484508725221),,Quốc lộ 50 - Cầu Ông Thìn (2),345,http://camera.thongtingiaothong.vn/api/snapshot/5a825ded5058170011f6ead7
63b5503bbfd3d90017ea7ccc,POINT(106.775082349777 10.7697468141455),,Nút giao Mỹ Thủy (7),,http://camera.thongtingiaothong.vn/api/snapshot/63b5503bbfd3d90017ea7ccc
662a873b1afb9c00172d2483,POINT(106.581823825836 10.7489509551128),,Võ Trần Chí - Trần Văn Giàu 1,,http://camera.thongtingiaothong.vn/api/snapshot/662a873b1afb9c00172d2483
66b1c3fa779f740018674146,POINT(106.723707318306 10.7991305062692),,Nguyễn Hữu Cảnh - Ung Văn Khiêm,,http://camera.thongtingiaothong.vn/api/snapshot/66b1c3fa779f740018674146
5ad0621c98d8fc001102e268,POINT(106.702335476875 10.779137682017),,Lý Tự Trọng - Hai Bà Trưng 2,300,http://camera.thongtingiaothong.vn/api/snapshot/5ad0621c98d8fc001102e268
66b1c34d779f74001867409e,POINT(106.666828393936 10.768197450899),,Ba Tháng Hai - Thành Thái,,http://camera.thongtingiaothong.vn/api/snapshot/66b1c34d779f74001867409e
56de42f611f398ec0c48128c,POINT(106.6864407 10.7536415),,Võ Văn Kiệt - Nguyễn Văn Cừ 2,285,http://camera.thongtingiaothong.vn/api/snapshot/56de42f611f398ec0c48128c
662b558c1afb9c00172d8ed2,POINT(106.663491725922 10.8351289878163),,625 Quang Trung,,http://camera.thongtingiaothong.vn/api/snapshot/662b558c1afb9c00172d8ed2
6623f4836f998a001b2528bf,POINT(106.765801906586 10.8354978023394),,Võ Nguyên Giáp - Đỗ Xuân Hợp (2),,http://camera.thongtingiaothong.vn/api/snapshot/6623f4836f998a001b2528bf
662b85bf1afb9c00172dd149,POINT(106.701128482819 10.7709694352995),,Nam Kỳ Khởi Nghĩa - Hàm Nghi,,http://camera.thongtingiaothong.vn/api/snapshot/662b85bf1afb9c00172dd149
63b54bcdbfd3d90017ea7a82,POINT(106.718090772629 10.8960825794088),,Tỉnh lộ 43 - KCX Linh Trung 2,,http://camera.thongtingiaothong.vn/api/snapshot/63b54bcdbfd3d90017ea7a82
5b5995a3fd4edb0019c7d9ab,POINT(106.660348176956 10.7489404145267),,Võ Văn Kiệt - Cầu Chà Và 2 (trên cầu),75,http://camera.thongtingiaothong.vn/api/snapshot/5b5995a3fd4edb0019c7d9ab
662b81a31afb9c00172dcc65,POINT(106.693907976151 10.7805394362678),,Nam Kỳ Khởi Nghĩa - Võ Văn Tần,,http://camera.thongtingiaothong.vn/api/snapshot/662b81a31afb9c00172dcc65
63ae7b3cbfd3d90017e8f34d,POINT(106.659817099571 10.7644610285251),,Ba Tháng Hai - Lý Thường Kiệt 3,,http://camera.thongtingiaothong.vn/api/snapshot/63ae7b3cbfd3d90017e8f34d
6318283cc9eae60017a19f0c,POINT(106.701568365097 10.7866101161314),,Nguyễn Thị Minh Khai - Đinh Tiên Hoàng 1,,http://camera.thongtingiaothong.vn/api/snapshot/6318283cc9eae60017a19f0c
5deb576d1dc17d7c5515acf6,POINT(106.681205 10.765389),,Nút giao Ngã sáu Cộng Hòa,,http://camera.thongtingiaothong.vn/api/snapshot/5deb576d1dc17d7c5515acf6
58746488b807da0011e33cd7,POINT(106.748507022858 10.8743050851613),Quận Thủ Đức,Cầu vượt Sóng Thần 2,60,http://camera.thongtingiaothong.vn/api/snapshot/58746488b807da0011e33cd7
662b83381afb9c00172dcf88,POINT(106.695957183838 10.7846919631639),,Hai Bà Trưng - Nguyễn Đình Chiểu,,http://camera.thongtingiaothong.vn/api/snapshot/662b83381afb9c00172dcf88
5822b5ededeb6c0012a2d66a,POINT(106.722586154938 10.7732144077704),Quận 2,Mai Chí Thọ - Nguyễn Cơ Thạch 1,45,http://camera.thongtingiaothong.vn/api/snapshot/5822b5ededeb6c0012a2d66a
63b660d8bfd3d90017eaa4d5,POINT(106.723691225052 10.7527666230832),,Cầu Tân Thuận 2 - Q7 (Q4-Q7),,http://camera.thongtingiaothong.vn/api/snapshot/63b660d8bfd3d90017eaa4d5
63ae7be0bfd3d90017e8f3a8,POINT(106.657199263573 10.7621527500863),,Ba Tháng Hai - Lê Đại Hành 1,,http://camera.thongtingiaothong.vn/api/snapshot/63ae7be0bfd3d90017e8f3a8
63b54a04bfd3d90017ea783e,POINT(106.813673973084 10.8502078623705),,Lê Văn Việt - Hoàng Hữu Nam,,http://camera.thongtingiaothong.vn/api/snapshot/63b54a04bfd3d90017ea783e
63b54f70bfd3d90017ea7c86,POINT(106.726276874542 10.7985614089434),,Cầu Sài Gòn (10),,http://camera.thongtingiaothong.vn/api/snapshot/63b54f70bfd3d90017ea7c86
5a8267fe5058170011f6eae1,POINT(106.697700619698 10.7235786992945),,Lê Văn Lương - Cầu Rạch Đĩa,15,http://camera.thongtingiaothong.vn/api/snapshot/5a8267fe5058170011f6eae1
58746122b807da0011e33cc5,POINT(106.787940859795 10.8672299545045),Quận Thủ Đức,Quốc lộ 1 - ĐH Nông Lâm 2,90,http://camera.thongtingiaothong.vn/api/snapshot/58746122b807da0011e33cc5
63ae768dbfd3d90017e8f0f1,POINT(106.701278686523 10.7560025246799),,Khánh Hội - Vĩnh Hội,,http://camera.thongtingiaothong.vn/api/snapshot/63ae768dbfd3d90017e8f0f1
